,Prompt,GT
1077,Which attack alters data in transit within the cloud? **Options:** A) MitM B) Packet sniffing C) Port scanning D) Encryption,A
1078,You are setting up a network intrusion detection system on a server and need to monitor the server's network traffic. Which mode should you configure the network adapter to operate in? **Options:** A) Full-duplex mode B) Auto-configuration mode C) Half-duplex mode D) Promiscuous mode,D
1079,"What is the primary method used to insert instructions for other abusive acts in computer programs, such as logic bombs, salami attacks, and viruses? **Options:** A) Trojan Horse B) Superzapping C) Eavesdropping D) Scavenging",A
1080,"How are information security policies, standards, and procedures reinforced in an organization? **Options:** A) By providing a competitive advantage B) By conducting regular reviews of employee compliance levels C) By granting inventors limited property rights D) By protecting the representation of products and services use",B
1081,Your boss wants to move internally developed software applications to an alternate environment supported by a third party to reduce the server room footprint. Which of the following is your boss proposing? **Options:** A) Software as a Service (SaaS) B) Platform as a Service (PaaS) C) Community cloud D) Infrastructure as a Service (IaaS),D
1082,How are rootkits often installed on systems? **Options:** A) By physically connecting an infected USB drive B) By exploiting unpatched vulnerabilities in the operating system or software C) Through email attachments D) Through social engineering attacks,B
1083,What is the primary purpose of source code obfuscation? **Options:** A) To make the code unreadable and tough to reverse engineer B) To improve the performance of the program C) To make the code more efficient and faster D) To enhance the security of the source code,A
1084,"What is a key characteristic that distinguishes worms from viruses? **Options:** A) Worms do not require any user action to spread, while viruses do. B) Viruses primarily target hardware, while worms target software. C) Viruses are more stealthy than worms. D) Worms are only able to spread through email attachments.",A
1085,What type of cipher can be described as solely focused on diffusion? **Options:** A) Monoalphabetic cipher B) Transposition cipher C) Substitution cipher D) Polyalphabetic cipher,B
1086,Which type of encryption focuses on bulk data encryption and uses a single secret key for both encryption and decryption? **Options:** A) Symmetric key encryption B) Asymmetric key encryption C) Block cipher encryption D) Stream cipher encryption,A
1087,Which document provides recommended approaches to the application of human rights in a business setting? **Options:** A) US Constitution B) European Convention on Human Rights C) Universal Declaration of Human Rights D) UN publications,D
1088,What could happen when a program attempts to dereference a null pointer? **Options:** A) Garbage Collection B) Buffer Infiltration C) Memory fault errors D) Nothing,C
1089,What key advantage of VPNs enables the creation of a network of virtual channels through the Internet? **Options:** A) Routing integration. B) Policy-based routing. C) Data encryption and protection. D) Logical independence.,D
1090,What is the main function of a firewall in network security? **Options:** A) To detect and remove malware from the network B) To prevent unauthorized physical access to network devices C) To filter and control incoming and outgoing network traffic D) To encrypt data transmitted over the network,C
1091,"Which category of steganography involves a covert file and an overt file, but the overt file is generated on the fly and does not exist at the beginning of the process? **Options:** A) Insertion B) Substitution C) Covert Communication D) Generation",D
1092,Which of the following elements does not apply to privacy? **Options:** A) Not any of the listed options B) Availability C) Confidentiality D) Integrity,B
1093,What is the primary purpose of security patches on software? **Options:** A) To increase system performance B) To fix vulnerabilities and improve security C) To add new features to the software D) To enhance the user interface,B
1094,What does UDP provide in terms of packet delivery? **Options:** A) Reliable delivery and network-wide congestion control. B) Network-wide congestion control. C) Minimal overhead and no assurance of packets arriving in order or not being corrupted. D) Assurance that packets arrive in order and are not corrupted.,C
1095,Why is it important to contain and preserve evidence in incident response in cybersecurity? **Options:** A) To notify management and legal authorities B) To eradicate the problem quickly C) To prevent evidence contamination and loss D) To apply the need-to-know security principle,C
1096,What is the primary advantage of using third-party security services? **Options:** A) To enhance legal grounds for prosecuting criminals B) To achieve complete isolation and protection of sensitive data C) To gain access to more advanced security tools and expertise D) To offload the responsibility for security compliance to an external entity,C
1097,How does a packet sniffer work? **Options:** A) It filters specific protocols and ports B) It blocks all incoming network traffic C) It listens to network packets and conversations between hosts D) It encrypts captured network data,C
1098,How is the success probability in linear and differential attacks affected by the number of rounds in a block cipher? **Options:** A) It remains constant regardless of the number of rounds. B) It is independent of the number of rounds. C) It increases with each subsequent round. D) It diminishes with each subsequent round.,D
1099,Which of these prevention techniques would be best used against a SQL injection attack? **Options:** A) Address space layout randomization B) Stack canary C) Return to libc D) Web application firewall,D
1100,What feature of a managed switch restricts the number of MAC addresses allowed into the content addressable memory (CAM) table? **Options:** A) MAC limiting B) MAC cloning C) MAC flooding protection D) MAC filtering,A
1101,"Which standard provides a framework for communicating user identity, user entitlements, and user attributes between separate security domains? **Options:** A) XML Encryption B) WS-Security C) SAML D) XML Signature",C
1102,How can an enterprise identify potential toll fraud within its organization? **Options:** A) By disabling direct inward dialing B) By enabling last number redial tracking C) By implementing billing or authorization codes D) By monitoring phone usage and analyzing calling patterns,D
1103,Why is it important to define processes for the destruction of information/data carriers? **Options:** A) To protect the system against electromagnetic/thermal radiation B) To reduce the risk of unauthorized access to recycled or disposed media C) To ensure the availability and functionality of systems D) To guarantee that sensitive information is secured and can be quickly restored,B
1104,The Brain virus is an example of which type of malware? **Options:** A) Worm B) Trojan C) Spyware D) Virus,D
1105,"What was the unintended impact of the September 2007 protests in Burma? **Options:** A) Mass protests and an uprising by the ruling junta that led to widespread violence. B) Burmese people used digital tools to broadcast their revolt, gaining global attention and criticism of the ruling junta. C) The first time wholesale Internet blocking was used to stop news from getting out after the protests caused pain to the junta. D) A sudden increase in fuel prices and a violent crackdown by the ruling junta.",B
1106,What term describes an attacker's ability to run code on a remote system? **Options:** A) DoS B) SMB C) XSS D) RCE,D
1107,Which protocol is used to transfer files securely between computers and uses port 22? **Options:** A) SCP B) LDAP C) IPsec D) TCP,A
1108,Where is the row-level security activated in the Human Resource Management System (HRMS) modules? **Options:** A) Based on the organization's hierarchy B) Based on a Department Security Tree C) Based on the user's role D) Based on the data sensitivity level,B
1109,"In a Time-Memory Trade-Off, what is the 'time' aspect referring to? **Options:** A) The one-time work needed to precompute data B) The effort required to compute encryption chains C) The duration it takes to recover a key using the attack D) The computational complexity of the encryption algorithm",C
1110,Which of the following features of an SSO product ensures that the encryption used is a standard such as DES? **Options:** A) Encryption Should Be Commercial Standard B) Failsoft Ability C) Integrity of Security DB(s) D) No Cleartext Passwords,A
1111,What role does encryption play in achieving data confidentiality in cybersecurity? **Options:** A) It ensures that data is not altered or tampered with during transit B) It provides authentication of users and devices in a network C) It enables efficient routing of data packets in a network D) It prevents unauthorized access to sensitive information,D
1112,What classic game is used to illustrate the concept of prisoners' dilemma in game theory? **Options:** A) Matching pennies B) Battle of the sexes C) Chicken game D) None of the above,D
1113,What is the purpose of a business continuity plan? **Options:** A) To prevent data breaches B) To recover from disasters and resume operations C) To reduce cybersecurity risks D) To comply with industry regulations,B
1114,"What does the principle of least privilege state? **Options:** A) To perform security operations to safeguard assets such as information, systems, devices, facilities, and applications B) Subjects are granted only the privileges necessary to perform assigned work tasks and no more C) Access only to the data or resources a user needs to perform assigned work tasks D) Subjects should be granted access only to information and resources they need to perform their assigned work",B
1115,"In cases involving personal injury, which of the following is a measure of harm often used to calculate the value of the harm suffered by the victim? **Options:** A) Pain and suffering B) Loss of future earnings C) Loss of reputation D) Emotional distress",B
1116,What is a benefit of using a connection-oriented protocol? **Options:** A) It does not require acknowledgments B) It provides reliable and ordered data transmission C) It is less complex than connectionless protocols D) It does not guarantee delivery of packets,B
1117,Which type of attack involves presenting fake network traffic to intercept legitimate communication? **Options:** A) Ransomware attack B) Phishing attack C) SQL injection attack D) Man-in-the-middle attack,D
1118,What is the key difference between DoS and DDoS attacks? **Options:** A) All provided answer B) Protocols in use C) Goal of the attack D) Number of attackers,D
1119,What is the purpose of a digital signature in cybersecurity? **Options:** A) To ensure data integrity B) To confirm the receipt of data C) To authenticate user identities (sender and receiver) D) To encrypt data transmissions,A
1120,"In the context of Kerberos, what is a realm? **Options:** A) Mapping identities and attributes between domains B) A domain or network designated for centralized authentication C) Biometric authenticator D) A secure network location",B
1121,Which firewall type below uses a dynamic state table to inspect the content of packets? **Options:** A) A stateful-inspection firewall B) An application-level firewall C) A packet-filtering firewall D) A circuit-level firewall,A
1122,What is the most common method for unauthorized individuals to gain access to a network? **Options:** A) SQL injection B) Brute force attack C) Cross-site scripting (XSS) D) Phishing / social engineering,D
1123,What is the primary goal of steganography? **Options:** A) To minimize file size and optimize data storage. B) To hide information within other information without detection. C) To make data unreadable by unauthorized users. D) To ensure the integrity and availability of data.,B
1124,"While performing a risk analysis, you identify a threat of fire and a vulnerability because there are no fire extinguishers. Based on this information, which of the following is a possible risk? **Options:** A) Virus infection B) Damage to equipment C) Unauthorized access to confidential information D) System malfunction",B
1125,What does a MIME version header field declare? **Options:** A) The content type of the message B) The conformance of the message with MIME standards C) The type of encryption used in the message D) The language of the message,B
1126,What term is used to describe the rows in an access control matrix? **Options:** A) Capability lists B) Domains C) Tuples D) Access Control Lists (ACLs),A
1127,"What is the term for software that functions without putting malicious executables within the file system, and instead works in a memory-based environment? **Options:** A) Rootkit B) Fileless malware C) Logic bomb D) Spyware",B
1128,What type of virus initially loads into the first sector of the hard drive and then into memory when the computer boots? **Options:** A) Macro virus B) Boot sector virus C) Polymorphic virus D) Worm,B
1129,Which type of access control policy allows only administrators to change the category of a resource? **Options:** A) Rule-based access control (RBAC) B) Discretionary access control (DAC) C) Mandatory access control (MAC) D) Role-based access control (RBAC),C
1130,What is the primary purpose of segmenting audiences for security awareness? **Options:** A) To provide information relevant to specific audience groups B) To standardize training for all employees C) To create exclusive groups based on employee seniority D) To enforce compliance with security protocols,A
1131,"Which of the following models lists the phases of an attack in order, starting with reconnaissance and ending with actions on objectives? **Options:** A) Cyber Kill Chain B) MITRE ATT&CK Matrix C) Threat Intelligence D) Security Orchestration, Automation, and Response (SOAR)",A
1132,What is the purpose of the session key in the Kerberos authentication process? **Options:** A) To authenticate the server to the user B) That common session key can be used for protecting subsequent messages between the client and the service C) To encrypt the ticket-granting ticket sent by the AS to the client D) To prove the identity of the client to the TGS,B
1133,What is the purpose of conducting formal remediation processes as part of compliance assurance? **Options:** A) To disregard collaboration and networking externally. B) To eliminate the need for compliance metrics reporting. C) To improve security controls and adhere to compliance requirements. D) To avoid implementing technical controls.,C
1134,Many of the security architecture models (Bell-LaPadula  Biba Clark Wilson) are very high level constructs and provide abstracts for software designers to use as a map to meet specific security goals. Which of the following models address more granular activities as in all subjects and objects should be created securely? **Options:** A) Graham Denning model B) Brewer Nash C) Information flow D) Harrison-Ruzzo-Ullman model,A
1135,What is the purpose of ethical hacking? **Options:** A) To create viruses and worms to compromise systems. B) To exploit security vulnerabilities for personal gain. C) To identify and fix security vulnerabilities before malicious hackers can exploit them. D) To perform criminal activities in the cyber domain.,C
1136,Which method provides content inspection to prevent unauthorized use of data on USB mass storage devices? **Options:** A) Data Loss Prevention (DLP) B) Intrusion Detection System C) Hardening D) Content Filtering,A
1137,What are the management responsibilities outlined in a security policy primarily focused on? **Options:** A) Tracking and monitoring all employee activities to prevent unauthorized access to sensitive information. B) Guiding the development and implementation of new security technologies and systems. C) Ensuring that all employees understand and comply with the organization's security policies. D) Holding employees accountable for any security breaches or incidents within the organization.,C
1138,What is the purpose of a vulnerability scanning tool in cybersecurity? **Options:** A) To launch attacks across a TCP/IP network B) To determine if a system is vulnerable to exploits C) To discover systems connected to a network D) To identify open ports on a system,B
1139,What type of attack hogs or overwhelms a system’s resources so that it cannot respond to service requests? **Options:** A) Replay attack B) Man-in-the-middle attack C) Denial-of-service attack D) TCP/Hijacking,C
1140,Which security principle emphasizes keeping the system design as simple and minimal as possible? **Options:** A) Principle of Psychological Acceptability B) Principle of Least Privilege C) Principle of Economy of Mechanism D) Principle of Open Design,C
1141,Which term describes the process of recovering the plaintext from the ciphertext? **Options:** A) Decipherment B) Compression C) Authentication D) Encipherment,A
1142,What type of malware uses social engineering tactics to trick a victim into installing it? **Options:** A) Virus B) Trojan horse C) Worm D) Logic bomb,B
1143,Why is it important to keep software and systems updated? **Options:** A) To prevent cybersecurity attacks B) To enhance system appearance C) To reduce storage space D) To decrease the speed of the system,A
1144,Which directory type is often used to provide space on the network for end users to store data they create or perform their tasks? **Options:** A) Application directories B) Shared directories C) Home directories D) Operating system directories,C
1145,Which of the following can breach the confidentiality of data? **Options:** A) Possession by unauthorized individuals B) Man in the middle attacks C) Malware attacks D) All of the above,D
1146,Why is it important to dedicate staff and automate compliance tasks? **Options:** A) To limit the organization's reporting on compliance metrics. B) To avoid enforcing penalties for noncompliance to policy. C) To prevent collaboration and network externally. D) To alleviate the burden of demonstrating compliance and ensure consistency.,D
1147,Which task of risk assessment consists of identifying risk-reducing safeguards that mitigate vulnerabilities and evaluating the degree to which selected safeguards can be expected to reduce threat frequency or impact? **Options:** A) Conducting the Vulnerability Analysis B) Asset Identification and Valuation C) Safeguard Selection and Risk Mitigation Analysis D) Establish Risk Acceptance Criteria,C
1148,What is the main purpose of cryptography? **Options:** A) To increase data transfer speed B) To compress data C) To secure Wi-Fi connections D) To make messages unreadable to unintended audiences,D
1149,Why is concern assessment important in the risk management process? **Options:** A) It aligns statistical evidence with personal perceptions to ensure accurate risk assessment. B) It focuses on implementing preventive measures to minimize potential threats. C) It helps in evaluating the impact of adverse events based on individual intuition and fear. D) It addresses different stakeholder perceptions and aids in reducing ambiguity related to risks.,D
1150,What was a primary motivation for phone phreaks to exploit phone company systems? **Options:** A) Financial gain B) Promoting countercultural values C) Intellectual challenge D) Countering government surveillance,C
1151,Which term describes the process by which each party to a communication verifies the identity of the other? **Options:** A) Compression B) Authentication C) Decipherment D) Identification,B
1152,What is sequence number in the context of session hijacking? **Options:** A) A number used in reconstructing a UDP session B) A randomly chosen number by a hacker to hijack a session C) A number assigned to a packet indicating its order in the data stream D) A way of sending information from the sending to the receiving station,C
1153,"Which principle states that in a secured environment, users should be granted the minimum amount of access necessary for them to complete their required work tasks or job responsibilities? **Options:** A) Job rotation B) Principle of least privilege C) Separation of duties D) Collusion",B
1154,"In a business organization analysis, what is the purpose of determining which departments and individuals have a stake in the business continuity plan? **Options:** A) To evaluate the organizational structure B) To assess operational risks C) To select members of the BCP team D) To guide the next stages of BCP development",C
1155,What tool could you use to identify IoT devices on a network? **Options:** A) nmap B) Postman C) Cloudscan D) Samba,A
1156,What drawback is associated with using a behavior-based IDS? **Options:** A) Unable to keep up with high network traffic B) Limited by the auditing capabilities of the host OS C) Dependent on signature files D) Produces many false alarms,D
1157,What security measure should be enabled to prevent unauthorized through-calls in a conference bridge? **Options:** A) Access code rotation B) Bridge locking C) Network class of service D) Individual call monitoring,B
1158,Which factor should be considered in calculating the negative impact of a threat realized? **Options:** A) The system's processing speed B) The office location C) The mission of the system D) The number of employees,C
1159,What is the purpose of creating a Protection Profile (PP) in the Common Criteria methodology? **Options:** A) To demonstrate the completeness of the security function of a TOE B) To verify the security properties of the IT product C) To perform independent evaluations of Security Targets (STs) D) To communicate the security requirements of a consumer to potential developers,D
1160,Which method of risk assessment uses subjective and intangible values to evaluate the loss of an asset? **Options:** A) Tangible Risk Analysis B) Qualitative Risk Analysis C) Quantitative Risk Analysis D) Intangible Risk Analysis,B
1161,What type of attacker leaves few or no traces on a system after gaining access? **Options:** A) Truly subtle attackers B) Script kiddies C) Clueful attackers D) Naïve attackers,A
1162,What does 'DDoS' stand for in the context of cybersecurity? **Options:** A) Distributed Denial of Service B) Decentralized Data Security C) Digital Data of Service D) Direct Denial of Service,A
1163,A security principle that advocates a layered defense strategy to protect an organization's information assets and systems is known as: **Options:** A) Least Privilege B) Secure by Default C) Defense in Depth D) Constrained Delegation,C
1164,"What are the reasonable measures that an organization must take to protect a trade secret? **Options:** A) Reasonable measures include licensing the secret to others and publicly disclosing the secret. B) Reasonable measures involve filing for patents and publicly disclosing the secret. C) Reasonable measures vary based on the industry and may include measures such as contractual agreements, system auditing, and termination procedures. D) Reasonable measures should involve openly sharing the secret with competitors.",C
1165,What type of attack is concerned with the probability of a message digest produced by a hash function having identical message digests for different messages? **Options:** A) Birthday Attack B) Man-in-the-Middle Attack C) Factoring Attack D) Linear Cryptanalysis,A
1166,Which of the following is a key element of the Defense-in-Depth protection strategy? **Options:** A) Centralized access control B) Single layer defense C) Robust security analytics D) Layered defenses,D
1167,What is the key length required for the AES-192 algorithm in CTR mode of operation? **Options:** A) 256 bits B) 192 bits C) Variable length from 1 to 256 bytes D) 128 bits,B
1168,Which statement most accurately reflects the encryption used by SSL? **Options:** A) The bulk data transfer is encrypted using asymmetric encryption; the key is exchanged out of band B) SSL does not use encryption C) SSL uses asymmetric encryption for both session key exchange and bulk data encryption D) The session key is encrypted using asymmetric key encryption and the bulk data is encrypted with symmetric encryption,D
1169,"What is the primary purpose of conducting a search without a warrant if destruction of evidence seems imminent, according to the Federal Sentencing Guidelines? **Options:** A) To adhere to the prudent man rule B) To apply the concept of proximate causation C) To invoke the doctrine of exigent circumstances D) To follow government specified standards",C
1170,Which scan type works by manipulating Transport layer protocol flags and is effective for hiding scanning efforts? **Options:** A) Stealth scan B) IDLE scan C) Inverse TCP flag scan D) Full connect scan,A
1171,What is the focus of the SANS Institute? **Options:** A) Provides access control solutions for portable devices and removable media storage B) Pocket guide and online courses in information security C) Forum for information exchange among research scientists and practitioners of network and distributed system security services D) Offering education and training in information security,D
1172,What is the most common security risk associated with twisted-pair cable? **Options:** A) Data Emanation B) Electromagnetic Interference (EMI) C) Radio Frequency Interference (RFI) D) Crosstalk,D
1173,What is one of the most familiar privileges in a Windows token? **Options:** A) SeCredentials B) SeImpersonate C) SeDebug D) Both B and C,D
1174,Which of the following best describes a strong password? **Options:** A) A series of numbers in sequence B) A person's name C) A single dictionary word D) A combination of lowercase and uppercase letters with special characters,D
1175,Which of the following is true of a stateful inspection firewall? **Options:** A) Stateful inspection firewalls protect through all layers of the OSI model. B) Stateful inspection firewalls are faster then other firewalls. C) Stateful inspection firewalls support more custom applications than other firewalls. D) Stateful inspection firewalls do not provide network address translation.,C
1176,Which encryption mode prevents the same plaintext from encrypting to the same ciphertext? **Options:** A) Output feedback B) Electronic code book C) Cipher feedback D) Cipher block chaining,D
1177,Which version of SNMP supports encryption and user-based authentication? **Options:** A) SNMPv3 B) SNMPv1 C) SNMPv2c D) SNMPv2,A
1178,Which type of access control is based on the individual's role or title within the organization? **Options:** A) Non-Discretionary Access Control B) Mandatory Access Control C) Discretionary Access Control D) Lattice-based Access Control,A
1179,Which of the following is a goal of an ethical hacker? **Options:** A) Defending against malicious hacking activity B) Exploiting system vulnerabilities C) Performing unauthorized access to data D) Using security flaws for personal gain,A
1180,What techniques can be used for authentication? **Options:** A) Challenge-Response Authentication B) Password Authentication C) Public-Key Authentication D) All of the above can be used,D
1181,What is the core of the security life-cycle model? **Options:** A) Implementing security measures B) Assessing security C) Designing safeguards D) Security strategy and policy,D
1182,Which of these would be an example of pretexting? **Options:** A) A cloned badge B) Rogue wireless access point C) An email from a former coworker D) Web page asking for credentials,C
1183,What is the primary goal of a secure software development lifecycle program? **Options:** A) To fully eliminate all potential vulnerabilities in the software. B) To ensure that security is integrated into every phase of the software development process. C) To focus solely on post-development security testing and assessment. D) To achieve the fastest possible release of software without taking security into consideration.,B
1184,"In biometrics, a 'one-to-one' search to verify an individual’s claim of an identity is called **Options:** A) Aggregation B) Audit trail review C) Authentication D) Accountability",C
1185,Who is responsible for ensuring data integrity and security for an organization? **Options:** A) Data owner B) Data custodian C) Security analyst D) Security administrator,B
1186,What is the major objective of risk management? **Options:** A) Identifying and mitigating potential threats B) Establishing international security guidelines C) Enhancing data privacy regulations D) Optimizing network performance,A
1187,"How does a website identify returning users using cookies? **Options:** A) By monitoring users' mouse-clicking choices B) By storing the users' personal data C) Checking the unique identifier code, previously recorded in your cookie file D) By prompting users to enter their login credentials",C
1188,What do identity and access management controls aim to achieve in an organization's security framework? **Options:** A) Implementing strict physical access controls through biometric authentication methods B) Centralized control and enforcement of access rights across diverse technology platforms C) Developing standardized procedures for incident response and disaster recovery D) Isolating wireless access points from the main network to prevent unauthorized access,B
1189,Which statement accurately reflects the concept of risk evaluation criteria according to the given content? **Options:** A) It focuses on eliminating risks through the application of advanced technology. B) It defines the level of security needed based on industry-specific standards. C) It involves quantifying risks with mathematical models and tools. D) It provides a mix of quantitative and qualitative measures to assess risks.,D
1190,What is required for a thorough analysis of failure modes in safety-critical systems? **Options:** A) Evaluating the consequences of a failure of any one of your protection mechanisms. B) Human factor issues and the results of system-level tests. C) A safety requirements specification and safety test criteria. D) Merging top-down and bottom-up approaches.,D
1191,What does steganography replace in graphic files? **Options:** A) The most significant byte of each bit B) The least significant byte of each bit C) The least significant bit of each byte D) The most significant bit of each byte,C
1192,What mode of encryption is almost never used because it does not prevent the same plaintext from encrypting to the same ciphertext? **Options:** A) Electronic code book B) Output feedback C) Cipher block chaining D) Cipher feedback,A
1193,Why is SAN security important? **Options:** A) To increase system downtime B) To avoid financial losses due to data breaches C) To fulfill regulatory compliance requirements D) To prevent physical level threats,B
1194,"During the phase of scanning, which of the following techniques is used to probe hosts and subnets? **Options:** A) Tracert B) Pings C) Port scans D) All of the above",D
1195,Who should approve exceptions to security procedures for the organizational element to which the procedures apply? **Options:** A) Policy evaluation committee B) Audit function C) Managers and employees of proponent element D) Department vice president,D
1196,What cybersecurity practice involves ensuring that only authorized individuals can access certain information? **Options:** A) Intrusion detection B) Access control C) Vulnerability scanning D) Firewall configuration,B
1197,Which common feature found on managed switches duplicates traffic for analysis and evidence collection? **Options:** A) Port isolation B) VLAN management C) Port mirroring or spanning D) Port filtering,C
1198,What is a potential use of software forensics in the context of identifying the author of a piece of malicious code? **Options:** A) Recovering lost source code. B) Identifying the languages used in programming the code. C) Identifying linguistic or cultural characteristics in the code. D) Determining the main function of the code.,C
1199,"What is the main benefit of implementing service level management (SLM)? **Options:** A) Improved management of software licensing and compliance B) Negotiating software license negotiations C) Maintaining and gradually improving business-aligned IT service quality D) Reduced cost to implement, manage, and support the infrastructure",C
1200,"You are asked to perform a risk assessment of an information system for the purpose of recommending the most appropriate security controls. You have a short amount of time to do this. You have information about how each asset in the system is used and its importance to the business, but you have no financial information about the assets or the information systems. Which is the most appropriate method to use for this assessment? **Options:** A) Quantitative B) Threat modeling C) Qualitative D) Delphi",C
1201,"In the context of HIPAA information security requirements, which HIPAA-CMM practice focuses on developing disaster recovery and business continuity plans? **Options:** A) Develop Disaster Recovery and Business Continuity Plans B) Administer Patient Health Care Information Controls C) Evolve Personnel Information Security Policies and Procedures D) Establish Patient Health Care Information Security Controls",A
1202,How does XTS-AES mode ensure that the same plaintext block encrypts to different ciphertext blocks at different data unit positions? **Options:** A) By adjusting the tweak value based on the block number and data unit position B) By adding a randomly generated value to each plaintext block before encryption C) By changing the symmetric key for each position within the data unit D) By using a unique initialization vector (IV) for each plaintext block,A
1203,"For a fence to deter a determined intruder, it should be at least how many feet tall? **Options:** A) 2 B) 10 C) 8 D) 4",C
1204,What is the term used for a malicious program that disguises itself as a legitimate file or application? **Options:** A) Malware B) Vulnerability C) Denial-of-service attack D) Phishing,A
1205,What should be the primary mindset when dealing with a cybersecurity incident? **Options:** A) Collect evidence to establish legal prosecution. B) Think before reacting and preserve data for investigation. C) React immediately to restore normal system operations. D) Coordinate and refer unauthorized intrusions to law enforcement.,B
1206,Which of the following represents the likelihood that a threat will exploit a vulnerability to cause harm to an asset? **Options:** A) Loss Potential B) Risk C) Threat D) Exposure Factor (EF),B
1207,Which of the following is a widely used symmetric encryption algorithm? **Options:** A) RSA B) AES C) MD5 D) SHA-256,B
1208,What is the primary goal of Cascading Style Sheets (CSS)? **Options:** A) To provide a consistent and flexible mechanism to manipulate the appearance of HTML documents. B) To provide a secure connection between clients and servers. C) To generate dynamic content for web applications. D) To validate and execute JavaScript code within web pages.,A
1209,"Which access method has shared media for transport, making it more susceptible to eavesdropping and intrusion? **Options:** A) Point-to-Multipoint Wireless Internet B) DSL C) Dial-up access D) Cable Modems",D
1210,Why is network segmentation important for embedded and static systems? **Options:** A) To establish connections with other networks B) To facilitate easy access for all users C) To maximize resource utilization D) To prevent changes and exploits from reaching them,D
1211,At which OSI model layer does the IPSec protocol function? **Options:** A) Data Link B) Transport C) Network D) Session,C
1212,Which type of malware is identified by a hash value and compared against antivirus databases? **Options:** A) Worm B) Virus C) Trojan D) All of the above,D
1213,"In a security solution, which of the following is the weakest element? **Options:** A) Security policies B) Humans C) Internet connections D) Software products",B
1214,"What is the primary responsibility of a chief privacy officer (CPO) in an organization with regards to privacy policies? **Options:** A) Implementing and maintaining the privacy policy B) Formulating privacy policies for the organization C) Options A, B, and D are also correct D) Receiving and responding to complaints about privacy policy",C
1215,Which security mechanism is designed to restrict access to a network based on predetermined criteria? **Options:** A) Steganography B) Network Restriction Mechanism C) Access Control D) Cryptography,C
1216,What is the command to enable the web server to use SSL? **Options:** A) a2ensite default-ssl B) a2dissite default C) a2enmod ssl D) openssl rsa -in serverkey.pem -out /etc/apache2/ssl/server.key,C
1217,"What tool is commonly used for performing attacks against password hashes, such as MD5, SHA1, and NTLM? **Options:** A) L0phtCrack B) John the Ripper C) Cain and Able D) Ophcrack",B
1218,A session hijack can be used against a mobile device using all of the following except? **Options:** A) Cookies B) Worms C) Emails D) Browsers,B
1219,What is the concept of network security zones to divide networks for managing specific security actions? **Options:** A) Using networking protocols to secure network boundaries B) Enforcing strict access control at all network entry points C) Allowing unrestricted access to all network resources D) Dividing networks into secure and uncontrolled sections,D
1220,What is the primary purpose of biometric authentication? **Options:** A) To verify email addresses B) To remember user credentials C) To identify individuals based on unique biological traits D) To generate secure passwords,C
1221,"Who should be included in the business continuity planning team? **Options:** A) Representatives from the IT department only B) Representatives from support departments only C) Representatives from each operational and support department, IT experts, legal representatives, and senior management D) Representatives from senior management only",C
1222,Define 'hacktivist' **Options:** A) A person who uses their technological expertise to help companies and organizations improve their cybersecurity B) A person who engages in hacking as a form of protest or activism C) A person who illegally gains access to computer systems without permission D) A person who is dedicated to ethical hacking practices,B
1223,Which SQL command is used to explicitly commit a transaction to the database? **Options:** A) INSERT B) COMMIT C) UPDATE D) ROLLBACK,B
1224,What is one advantage of symmetric encryption over asymmetric encryption? **Options:** A) Faster encryption and decryption B) Better resistance to brute-force attacks C) Easier key distribution D) Higher level of security,A
1225,What is an example of an evasive technique used to bypass security mechanisms? **Options:** A) Encoding data B) Using a proxy server C) Using nmap in blind mode D) Scanning nonstandard ports,A
1226,Which devices can be used for authentication and key storage in multifactor authentication? **Options:** A) Bluetooth devices and Bluetooth headsets B) Network adapters and PCI Express cards C) Smart cards and USB flash drives D) Wireless routers and switches,C
1227,"What is the primary role of the IT director? **Options:** A) Developing new security policies B) Implementing security protocols C) Monitoring incident response D) Strategic planning, structure of the IT department, budgeting",D
1228,What is the primary goal of disaster recovery planning? **Options:** A) Setting up temporary business operations B) Preventing business interruption C) Restoring normal business activity D) Minimizing the impact of a disaster,C
1229,Which type of vulnerability refers to the existence of backdoors that allow a user to log in with no password or have direct access to application configuration? **Options:** A) Backdoor and Debug Options B) Cookie Poisoning C) Cross-Site Scripting D) Parameter Tampering,A
1230,What is the primary purpose of encryption in cybersecurity? **Options:** A) Securing data in transit over public networks B) Detecting and mitigating network intrusions C) Preventing unauthorized access to physical premises D) Protecting against social engineering attacks,A
1231,Which type of IDS monitors a single computer or host? **Options:** A) Network-based IDS (NIDS) B) Application-based IDS C) Intrusion prevention system (IPS) D) Host-based IDS (HIDS),D
1232,"In an LDAP injection attack, how does the attacker manipulate the LDAP query to bypass authentication? **Options:** A) By inserting additional scripting into web forms to modify the LDAP query. B) By intercepting the communication between the client and server and altering the LDAP query in transit. C) By adding characters such as &)(&) after the username to end the query and then provide any password. D) By using tools such as StackGuard to manipulate the LDAP query.",C
1233,Which statement is true about quantum encryption? **Options:** A) It requires a dedicated fiber-optic connection for general communications. B) It is susceptible to the man-in-the-middle attack due to its observable communication channels. C) It relies on single photons and polarizations for key negotiation and eavesdropping detection. D) It can be easily decrypted by an outside party using quantum computing.,C
1234,What role does real-time detection play in antivirus software? **Options:** A) Monitoring system performance continuously B) Scanning files for malicious code upon access C) Blocking of all incoming network traffic D) Encrypting data in real-time,B
